model,attribute,group,n,positive_rate,pr_auc,recall,precision,threshold
Stacking LogReg C=1,age,[20-30),233,0.08583690987124463,0.11361260896561755,0.1,0.07407407407407407,0.595
Stacking LogReg C=1,age,[30-40),527,0.09487666034155598,0.3269142149091796,0.58,0.29591836734693877,0.595
Stacking LogReg C=1,age,[40-50),1468,0.11307901907356949,0.2833748352907086,0.3855421686746988,0.25296442687747034,0.595
Stacking LogReg C=1,age,[50-60),2553,0.09479044261652958,0.21002137252748354,0.34710743801652894,0.20047732696897375,0.595
Stacking LogReg C=1,age,[60-70),3478,0.11242093156986774,0.25215070557092245,0.38107416879795397,0.22713414634146342,0.595
Stacking LogReg C=1,age,[70-80),3838,0.11594580510682648,0.20802892561563252,0.36179775280898874,0.21018276762402088,0.595
Stacking LogReg C=1,age,[80-90),2638,0.1197877179681577,0.20776400503764209,0.3575949367088608,0.19316239316239317,0.595
Stacking LogReg C=1,age,[90-100),399,0.12030075187969924,0.14562351516563182,0.16666666666666666,0.13559322033898305,0.595
Stacking LogReg C=1,gender,Female,8158,0.11142436871782299,0.21123432217926608,0.36633663366336633,0.21156289707750953,0.595
Stacking LogReg C=1,gender,Male,7105,0.10921885995777621,0.24232946588568316,0.3595360824742268,0.21412125863392173,0.595
Stacking LogReg C=10,age,[0-10),28,0.0,,0.0,0.0,0.595
Stacking LogReg C=10,age,[10-20),101,0.06930693069306931,0.12083954611037882,0.2857142857142857,0.14285714285714285,0.595
