model,attribute,group,n,positive_rate,pr_auc,recall,precision,threshold
XGBoost+TabNet,age,[80-90),2544,0.11988993710691824,0.1943024633508178,0.36721311475409835,0.18983050847457628,0.4049999999999999
XGBoost+TabNet,age,[90-100),416,0.12259615384615384,0.1944380217558865,0.29411764705882354,0.18518518518518517,0.4049999999999999
XGBoost+TabNet,gender,Female,8168,0.11287952987267386,0.23656844211291153,0.41431670281995664,0.22339181286549709,0.4049999999999999
XGBoost+TabNet,gender,Male,7096,0.11006200676437429,0.2169206882237597,0.3725992317541613,0.20830350751610593,0.4049999999999999
XGBoost+LightGBM,age,[0-10),26,0.0,,0.0,0.0,0.35999999999999993
XGBoost+LightGBM,age,[10-20),95,0.06315789473684211,0.20487319832147416,0.16666666666666666,0.2,0.35999999999999993
XGBoost+LightGBM,age,[20-30),248,0.1532258064516129,0.4771747148089037,0.7631578947368421,0.4264705882352941,0.35999999999999993
XGBoost+LightGBM,age,[30-40),564,0.10815602836879433,0.25079444956178476,0.3770491803278688,0.26436781609195403,0.35999999999999993
XGBoost+LightGBM,age,[40-50),1401,0.10278372591006424,0.27846386461562617,0.4722222222222222,0.2537313432835821,0.35999999999999993
XGBoost+LightGBM,age,[50-60),2600,0.09192307692307693,0.22571219725946795,0.30962343096234307,0.2208955223880597,0.35999999999999993
XGBoost+LightGBM,age,[60-70),3405,0.11600587371512482,0.2419813002783115,0.3265822784810127,0.25343811394891946,0.35999999999999993
XGBoost+LightGBM,age,[70-80),3966,0.11699445284921836,0.21295262056214273,0.29310344827586204,0.19484240687679083,0.35999999999999993
XGBoost+LightGBM,age,[80-90),2544,0.11988993710691824,0.19511003124593296,0.2786885245901639,0.20631067961165048,0.35999999999999993
XGBoost+LightGBM,age,[90-100),416,0.12259615384615384,0.19912055196164166,0.19607843137254902,0.20408163265306123,0.35999999999999993
XGBoost+LightGBM,gender,Female,8168,0.11287952987267386,0.23629890963184932,0.3362255965292842,0.23467070401211204,0.35999999999999993
XGBoost+LightGBM,gender,Male,7096,0.11006200676437429,0.22150232587057697,0.31370038412291934,0.22072072072072071,0.35999999999999993
XGBoost+CatBoost,age,[0-10),26,0.0,,0.0,0.0,0.195
XGBoost+CatBoost,age,[10-20),95,0.06315789473684211,0.20806780487706153,0.3333333333333333,0.2857142857142857,0.195
XGBoost+CatBoost,age,[20-30),248,0.1532258064516129,0.4894710900050647,0.7894736842105263,0.40540540540540543,0.195
XGBoost+CatBoost,age,[30-40),564,0.10815602836879433,0.26794341324244036,0.45901639344262296,0.23728813559322035,0.195
XGBoost+CatBoost,age,[40-50),1401,0.10278372591006424,0.28256030387227205,0.5138888888888888,0.2182890855457227,0.195
XGBoost+CatBoost,age,[50-60),2600,0.09192307692307693,0.2281788012745871,0.41841004184100417,0.211864406779661,0.195
XGBoost+CatBoost,age,[60-70),3405,0.11600587371512482,0.23926169422838878,0.43037974683544306,0.21794871794871795,0.195
XGBoost+CatBoost,age,[70-80),3966,0.11699445284921836,0.2192633983358933,0.44396551724137934,0.19826756496631376,0.195
XGBoost+CatBoost,age,[80-90),2544,0.11988993710691824,0.20508967221907734,0.4360655737704918,0.1857541899441341,0.195
XGBoost+CatBoost,age,[90-100),416,0.12259615384615384,0.21149836900680768,0.4117647058823529,0.20388349514563106,0.195
XGBoost+CatBoost,gender,Female,8168,0.11287952987267386,0.23581768174158735,0.46963123644251625,0.21924050632911393,0.195
XGBoost+CatBoost,gender,Male,7096,0.11006200676437429,0.231054957482836,0.4238156209987196,0.19784817692767484,0.195
XGBoost+LightGBM+CatBoost,age,[0-10),26,0.0,,0.0,0.0,0.21499999999999997
XGBoost+LightGBM+CatBoost,age,[10-20),95,0.06315789473684211,0.2089638622247318,0.3333333333333333,0.2857142857142857,0.21499999999999997
XGBoost+LightGBM+CatBoost,age,[20-30),248,0.1532258064516129,0.48929265833258645,0.7894736842105263,0.410958904109589,0.21499999999999997
XGBoost+LightGBM+CatBoost,age,[30-40),564,0.10815602836879433,0.2658764195440624,0.4262295081967213,0.23423423423423423,0.21499999999999997
